stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
B672,Київ-Волинський,50.413021,30.428942,,0,
B673,м. Виставковий центр,50.382042,30.478502,,0,
B676,Півд вокзал,50.438484,30.486538,,0,
B678,вул. Донецька,50.426865,30.444094,,0,
B680,м.Либідська  43-1,50.412792,30.525665,,0,
B681,м.Либідська  43-2,50.41164,30.525169,,0,
B682,пл.ГероівВВВ,50.424377,30.563442,,0,
B683,Мінський м-в,50.524998,30.463028,,0,
B684,пл.Шевченка,50.519905,30.449818,,0,
B685,м. Почайна (30),50.488831,30.499201,,0,
B687,м. Почайна (29),50.487888,30.4974,,0,
B688,вул. Йорданська,50.494495,30.506872,,0,
B689,вул. Сабурова 1,50.511112,30.612015,,0,
B690,НСК Олімп,50.43388,30.516596,,0,
B697,вул. Пугачова,50.470039,30.467569,,0,
B700,вул.Щербаківського,50.457932,30.40276,,0,
B701,м. Політех,50.45108,30.466829,,0,
B702,вул. Франка,50.44479,30.50819,,0,
B703,пл. Перемоги,50.446739,30.493179,,0,
B704,м. Академ,50.46209,30.358509,,0,
B706,м.Житомирська,50.457458,30.365219,,0,
B709,просп. Гонгадзе,50.505821,30.409691,,0,
B711,м.Сирець,50.475811,30.430969,,0,
B713,Фізкульт,50.432529,30.510632,,0,
B714,Др народів,50.418541,30.5455,,0,
B717,Русанівка,50.429634,30.596294,,0,
B718,Цвєтаєвоі,50.521774,30.610273,,0,
B723,Ніколаєва,50.5033,30.595949,,0,
B724,м. Олімпійська,50.43177,30.516251,,0,
C557,Депо Шевченка,50.417084,30.40925,,0,
C561,Мих Борщагівка,50.407803,30.408051,,0,
C572,Контрактова пл.,50.465115,30.516548,,0,
C573,Поділ.депо,50.486065,30.474751,,0,
C574,вул. Коперника,50.459797,30.483978,,0,
C575,Старовокзал (18),50.443943,30.488462,,0,
C576,м. Берест,50.458668,30.421787,,0,
C577,Комарова,50.435959,30.410902,,0,
C578,Проспект Відрадний,50.420238,30.424753,,0,
C579,м.Героів Дніпра,50.522961,30.497007,,0,
C580,пл.Шевченка,50.520992,30.450678,,0,
C581,14 ліінія,50.552483,30.33506,,0,
C582,вул. Міська,50.526291,30.367376,,0,
C583,Скляренка,50.496479,30.46273,,0,
C584,Малиновського 1,50.50359,30.490597,,0,
C585,пл.Шевченка (12),50.52137,30.44858,,0,
C586,Спартак,50.485424,30.473745,,0,
C587,Йорданська,50.498356,30.504854,,0,
C588,ст.Милославська,50.531769,30.609619,,0,
C589,Милославська (28),50.532288,30.615627,,0,
C590,Сабурова  (35),50.508869,30.621258,,0,
C591,ДВРЗ,50.449955,30.678499,,0,
C592,ст.Сабурова,50.516373,30.60467,,0,
C593,ЗЗБК,50.424706,30.691189,,0,
C594,м.Лісова,50.463329,30.644014,,0,
C595,Кибальчича,50.492165,30.60202,,0,
C596,м.Позняки,50.400486,30.632753,,0,
C597,Харк м-в,50.412617,30.643467,,0,
C598,М.Бориспільська,50.404564,30.684448,,0,
C599,м.Чернігівська,50.460842,30.629469,,0,
C600,Перова,50.484509,30.597172,,0,
C601,Дарн вокзал,50.430714,30.64769,,0,
C602,ст.Троєщина-2,50.484005,30.575253,,0,
C603,Усенка,50.44595,30.633144,,0,
C604,Дарницьке депо,50.444614,30.631039,,0,
C605,Ватутіна,50.495262,30.573851,,0,
C606,Дарн р-к,50.431355,30.653484,,0,
C609,Навоі,50.472652,30.612494,,0,
C613,Хоткевича,50.44503,30.639132,,0,
C614,Депо Мил 4,50.53257,30.609676,,0,
C615,Депо Мил 28,50.531689,30.616161,,0,
C617,Депо Позняки 25,50.401344,30.632254,,0,
C618,ст. Цвєтаєвої,50.524281,30.60878,,0,
C621,ст. Драйзера,50.511681,30.596621,,0,
C622,м-р 20,50.529171,30.628691,,0,
C623,Депо ім. Шевченка,50.419201,30.40954,,0,
C624,Р.Роллана,50.426319,30.37343,,0,
C625,Корольова,50.415031,30.41127,,0,
